IND	Datum	Tmax	Tmin	Tavg	R	CSP
11934	01.01.1951	-1	-13,4	-4,2	0	5
11934	02.01.1951	0,2	-4,8	-0,9	2,6	5
11934	03.01.1951	2,6	-4	-0,8		14
11934	04.01.1951	2,4	-3,8	0	1,1	6
11934	05.01.1951	1,3	-4	-2		7
11934	06.01.1951	3,7	-4,3	0,3	0,2	6
11934	07.01.1951	0,6	-2,1	-1,2		4
11934	08.01.1951	2,2	-2	1,4	0,3	2
11934	09.01.1951	4,2	-4,9	1,1		1
11934	10.01.1951	3,4	-4,3	-1,1		1
11934	11.01.1951	4,9	-10,2	3,3		1
11934	12.01.1951	5,1	2,6	4,8		995
11934	13.01.1951	9,4	3,3	5,1	0,1	
11934	14.01.1951	3,3	0,4	1	2,4	
11934	15.01.1951	4,1	-4,8	0,4	0,2	1
11934	16.01.1951	2,3	-1,8	-0,2		1
11934	17.01.1951	-0,9	-6,4	-3,6	0,7	
11934	18.01.1951	-0,6	-4,6	-2,9	0,3	1
11934	19.01.1951	0,9	-3,6	-0,5	0,9	1
11934	20.01.1951	0,1	-3,1	-1,5	3,3	2
11934	21.01.1951	-1,4	-4,6	-2,9	4,1	7
11934	22.01.1951	-2,2	-13,2	-9,4	0,3	14
11934	23.01.1951	-5,3	-13,2	-6,7	1,3	15
11934	24.01.1951	-3,3	-6,2	-4,2		18
11934	25.01.1951	-3,3	-6,2	-4,8	3,1	16
11934	26.01.1951	3	-4,4	0		18
11934	27.01.1951	3,2	-5,6	-0,6	1,8	15
11934	28.01.1951	0,5	-3,5	-1,7	0	12
11934	29.01.1951	2,2	-10,2	-4,6		12
11934	30.01.1951	2,8	-10	-1,1		10
11934	31.01.1951	3,7	-4,2	0,7	0,1	10
11934	01.02.1951	3,6	-8,2	-3,9		8
11934	02.02.1951	-3,4	-13,4	-9,3		8
11934	03.02.1951	-3,1	-13,9	-5,8		8
11934	04.02.1951	-0,8	-10	-4,6	0,3	8
11934	05.02.1951	0,9	-4,1	-0,6	0,6	9
11934	06.02.1951	5,1	0,8	3,2	0	10
11934	07.02.1951	9	0,7	3,1		4
11934	08.02.1951	6,1	-0,1	3,2		1
11934	09.02.1951	9,3	-0,9	2,2		
11934	10.02.1951	7,9	-4,2	0,1		
11934	11.02.1951	5,9	-7,1	1,4		
11934	12.02.1951	10,6	0,2	6,9		
11934	13.02.1951	11,3	0,9	4,5		
11934	14.02.1951	2,9	-2,4	1,7	1,8	
11934	15.02.1951	2,6	0,2	1,4	0	
11934	16.02.1951	6,5	-1,1	1,2		
11934	17.02.1951	5,1	-3,6	1,3	0	
11934	18.02.1951	2,7	-0,7	0,4	0,3	
11934	19.02.1951	5,2	-6,7	-0,8		
11934	20.02.1951	3,7	-4,2	0,6		
11934	21.02.1951	4,4	-3,8	0,1	5,2	
11934	22.02.1951	2,6	-1,8	-0,2	0	8
11934	23.02.1951	2,4	-4,8	-1	0,2	3
11934	24.02.1951	4,3	-5,6	-0,1	2,3	1
11934	25.02.1951	0,6	-1,1	-0,1	1,7	6
11934	26.02.1951	2,6	-4,5	0,1	9,6	7
11934	27.02.1951	0,9	-5,2	-2,9	0,9	11
11934	28.02.1951	-0,3	-8,9	-6	0,3	11
11934	01.03.1951	-1,3	-10,9	-7,2		10
11934	02.03.1951	-1,5	-9,4	-3,7	0	7
11934	03.03.1951	-3,7	-12,9	-8	4,6	5
11934	04.03.1951	-3,4	-9,5	-7,2	0,1	13
11934	05.03.1951	0,1	-11	-3,7	0,4	11
11934	06.03.1951	2,4	-4,9	-2,2	5	10
11934	07.03.1951	3,5	-5,1	0,4	2	13
11934	08.03.1951	2,6	-0,3	0,6	2,1	6
11934	09.03.1951	-0,3	-3	-2	6,5	7
11934	10.03.1951	-2,3	-5,6	-4,3	0,4	16
11934	11.03.1951	4,3	-6,1	-1,4	0,1	12
11934	12.03.1951	5,1	-0,6	2,3	0,2	9
11934	13.03.1951	5,8	-0,5	2,9	0	5
11934	14.03.1951	12,1	2,1	7,4	4,3	1
11934	15.03.1951	7,3	1,2	3,8	0,1	
11934	16.03.1951	6,6	-0,6	2		
11934	17.03.1951	7,1	-4,3	4	1,1	
11934	18.03.1951	14,6	2,3	9	0,4	
11934	19.03.1951	13,2	5,1	8,5	11,7	
11934	20.03.1951	8,2	-0,6	1,6	0,1	
11934	21.03.1951	1,7	-4,8	-2,6		
11934	22.03.1951	4,1	-6,4	-0,1		
11934	23.03.1951	1,8	-1,1	0,9	0	
11934	24.03.1951	14,1	0,9	6,3	0,4	
11934	25.03.1951	5	-1,2	0	4,5	1
11934	26.03.1951	1,1	-3	-0,9	0,6	3
11934	27.03.1951	6,4	-5,9	-1,5	0,5	1
11934	28.03.1951	6,8	0	2	2,3	
11934	29.03.1951	0,7	-2,1	-1,3	14,4	3
11934	30.03.1951	3,5	-3,2	1,2		18
11934	31.03.1951	6,9	0,4	3,6	3,3	8
11934	01.04.1951	12,1	2,8	5	14,5	
11934	02.04.1951	10,1	0,8	4,3		
11934	03.04.1951	13,5	-2,1	5,6		
11934	04.04.1951	8,8	1	5,2		
11934	05.04.1951	12,6	-1,2	5,7		
11934	06.04.1951	11,2	-0,6	3,5		
